lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
847840284799778480802,2021,Mcleod-Mcdavid-Yamamoto,EDM,line,5on5,4,702.0,52.0,0.18,0.34,0.21,2.9,0.14,0.15,0.65,0.09,1.68,1.29,0.14,0.14,0.14,4.0,0.0,6.0,10.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,4.0,0.0,0.0,8.0,9.0,2.0,1.0,4.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,9.29,4.0,3.75,1.0,0.03,0.0,0.0,0.17,0.17,0.17,10.81,0.64,0.72,2.5,0.34,6.04,4.75,0.63,0.67,0.66,13.0,2.0,4.0,19.0,0.0,1.0,0.0,5.0,0.0,3.0,6.0,13.0,15.0,2.0,4.0,7.0,6.0,2.0,2.0,13.0,2.0,0.0,0.43,0.21,0.0,0.0,0.0,0.0,19.21,15.0,15.26,1.0,0.14,0.04,0.04,0.74,0.78,0.77
847747884780208478996,2021,Carrier-Amadio-Brooks,VGK,line,5on5,2,718.0,11.0,0.68,0.45,0.5,6.08,0.56,0.39,1.65,0.18,2.79,2.43,0.55,0.62,0.62,6.0,2.0,2.0,10.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,5.0,7.0,2.0,4.0,9.0,3.0,1.0,0.0,6.0,1.0,1.0,0.12,0.13,0.3,1.0,0.0,0.0,10.88,8.0,8.67,0.0,0.08,0.3,0.3,0.34,0.37,0.37,5.0,0.26,0.31,1.26,0.18,3.6,2.39,0.26,0.24,0.24,3.0,5.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,8.0,1.0,2.0,6.0,6.0,0.0,1.0,8.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,10.77,8.0,7.29,0.0,0.06,0.0,0.0,0.32,0.3,0.3
84745678479984,2021,Foote-Bogosian,TBL,pairing,5on5,18,6857.0,107.0,0.56,0.51,0.54,57.97,4.86,4.31,12.74,1.97,33.18,22.93,4.55,5.01,4.67,58.0,22.0,11.0,91.0,4.0,3.0,0.0,12.0,6.0,23.0,32.0,54.0,76.0,12.0,24.0,46.0,84.0,10.0,10.0,60.0,17.0,3.0,1.95,2.04,0.87,1.0,2.0,1.0,94.33,80.0,82.17,5.0,0.89,0.74,0.74,5.01,5.09,5.01,47.5,3.85,3.27,10.67,1.58,27.18,20.45,3.77,3.91,3.84,49.0,18.0,22.0,89.0,3.0,3.0,0.0,20.0,3.0,17.0,21.0,46.0,64.0,6.0,12.0,51.0,57.0,13.0,5.0,48.0,18.0,1.0,1.52,1.98,0.35,1.0,2.0,0.0,88.26,67.0,66.91,1.0,0.67,0.56,0.56,3.96,4.03,4.01
847687184775008481535,2021,Pearson-Horvat-Hoglander,VAN,line,5on5,19,6110.0,139.0,0.6,0.6,0.57,64.36,5.08,4.34,14.86,2.15,37.5,27.07,4.95,4.88,4.75,70.0,21.0,42.0,133.0,2.0,3.0,1.0,19.0,4.0,37.0,26.0,68.0,89.0,13.0,26.0,62.0,36.0,9.0,12.0,71.0,16.0,4.0,2.2,1.78,1.11,1.0,0.0,1.0,127.85,91.0,87.78,9.0,0.89,0.59,0.59,5.38,5.14,5.06,48.67,3.36,3.36,11.1,1.63,29.21,21.35,3.25,3.51,3.4,61.0,9.0,18.0,88.0,0.0,4.0,0.0,19.0,1.0,17.0,29.0,61.0,70.0,9.0,18.0,56.0,29.0,6.0,11.0,55.0,13.0,2.0,1.38,1.48,0.5,0.0,0.0,0.0,91.61,70.0,72.3,5.0,0.68,0.83,0.83,3.22,3.36,3.29
847121784763298479343,2021,Ladd-Boyd-Keller,ARI,line,5on5,11,3019.0,81.0,0.4,0.48,0.44,21.13,1.63,1.46,5.53,0.74,11.64,8.0,1.58,1.53,1.49,18.0,11.0,14.0,43.0,3.0,1.0,0.0,6.0,1.0,7.0,11.0,15.0,26.0,5.0,13.0,24.0,16.0,8.0,7.0,22.0,6.0,1.0,0.57,0.8,0.25,2.0,1.0,0.0,41.12,29.0,27.62,2.0,0.31,0.25,0.25,1.69,1.59,1.56,26.84,2.43,1.68,7.01,0.85,14.28,10.75,2.38,2.56,2.51,26.0,11.0,9.0,46.0,3.0,4.0,2.0,6.0,0.0,8.0,16.0,23.0,34.0,3.0,9.0,25.0,28.0,4.0,4.0,29.0,6.0,2.0,0.97,0.69,0.76,1.0,0.0,2.0,49.07,37.0,39.06,1.0,0.35,0.96,0.96,1.82,1.88,1.87
84774198480883,2021,Smith-Geertsen,NJD,pairing,5on5,3,1122.0,11.0,0.38,0.33,0.33,5.05,0.55,0.34,1.06,0.15,2.83,2.06,0.55,0.52,0.52,4.0,3.0,3.0,10.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,6.0,0.0,0.0,3.0,10.0,3.0,0.0,5.0,1.0,1.0,0.15,0.2,0.2,0.0,0.0,1.0,9.19,7.0,6.62,0.0,0.07,0.0,0.0,0.62,0.58,0.58,10.24,0.91,0.71,2.34,0.32,5.69,4.03,0.91,0.94,0.93,8.0,6.0,6.0,20.0,0.0,1.0,0.0,2.0,1.0,4.0,6.0,8.0,14.0,1.0,2.0,4.0,7.0,1.0,1.0,11.0,2.0,1.0,0.37,0.29,0.25,0.0,0.0,0.0,20.64,14.0,14.43,1.0,0.15,0.25,0.25,0.81,0.83,0.83
847344984768788481522,2021,Girgensons-Krebs-Okposo,BUF,line,5on5,2,1065.0,5.0,0.27,0.38,0.35,4.16,0.21,0.25,1.06,0.13,2.59,1.77,0.21,0.22,0.22,3.0,3.0,3.0,9.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,3.0,6.0,0.0,0.0,10.0,11.0,4.0,1.0,6.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,9.13,6.0,6.25,0.0,0.05,0.0,0.0,0.26,0.27,0.27,8.05,0.57,0.54,2.02,0.29,4.5,3.06,0.56,0.55,0.54,9.0,2.0,4.0,15.0,1.0,0.0,0.0,5.0,0.0,2.0,3.0,8.0,10.0,1.0,2.0,16.0,12.0,7.0,4.0,9.0,2.0,0.0,0.28,0.29,0.0,0.0,1.0,0.0,15.01,11.0,10.78,2.0,0.11,0.0,0.0,0.69,0.66,0.65
84793238482073,2021,Fox-Schneider,NYR,pairing,5on5,25,1106.0,178.0,0.48,0.38,0.39,8.76,1.13,0.67,1.71,0.25,4.07,3.17,1.08,1.14,1.09,9.0,2.0,1.0,12.0,2.0,1.0,0.0,3.0,0.0,3.0,2.0,7.0,9.0,0.0,0.0,2.0,6.0,2.0,8.0,6.0,4.0,1.0,0.15,0.64,0.34,0.0,2.0,0.0,12.16,11.0,11.11,5.0,0.14,0.34,0.34,0.93,0.94,0.94,12.17,1.21,0.79,2.88,0.39,6.65,5.08,1.17,1.21,1.17,10.0,7.0,3.0,20.0,0.0,1.0,0.0,1.0,0.0,4.0,11.0,10.0,17.0,1.0,2.0,3.0,9.0,2.0,4.0,12.0,4.0,1.0,0.34,0.65,0.22,0.0,0.0,0.0,20.5,17.0,17.32,1.0,0.16,0.06,0.06,1.31,1.32,1.29
847516684779398479318,2021,Tavares-Matthews-Nylander,TOR,line,5on5,33,1763.0,332.0,0.79,0.7,0.67,21.36,2.8,1.57,5.59,0.94,12.74,8.37,2.56,2.73,2.49,23.0,9.0,7.0,39.0,3.0,3.0,2.0,7.0,0.0,13.0,6.0,20.0,29.0,1.0,2.0,17.0,6.0,4.0,6.0,24.0,4.0,4.0,0.81,0.56,1.43,0.0,1.0,2.0,37.73,32.0,31.32,2.0,0.33,1.04,1.04,2.09,2.04,1.94,11.53,0.75,0.61,2.73,0.35,6.32,5.24,0.74,0.75,0.74,13.0,3.0,1.0,17.0,1.0,1.0,1.0,2.0,1.0,2.0,9.0,12.0,15.0,1.0,2.0,4.0,19.0,6.0,10.0,14.0,1.0,1.0,0.33,0.08,0.34,0.0,0.0,1.0,17.23,16.0,16.22,8.0,0.12,0.34,0.34,0.53,0.53,0.53
847461384769218480039,2021,Martinook-Stepan-Necas,CAR,line,5on5,10,2195.0,69.0,0.65,0.65,0.6,21.37,1.51,1.47,5.84,0.75,12.89,8.54,1.49,1.52,1.5,20.0,11.0,13.0,44.0,1.0,2.0,0.0,3.0,2.0,14.0,9.0,19.0,30.0,4.0,8.0,18.0,12.0,6.0,3.0,27.0,3.0,1.0,0.77,0.44,0.29,1.0,0.0,0.0,44.46,31.0,30.87,1.0,0.3,0.34,0.34,1.47,1.46,1.44,15.46,0.82,0.89,3.3,0.45,8.52,7.01,0.82,0.84,0.84,12.0,9.0,3.0,24.0,1.0,0.0,0.0,2.0,1.0,4.0,13.0,11.0,20.0,3.0,6.0,22.0,15.0,5.0,8.0,20.0,1.0,0.0,0.67,0.15,0.0,1.0,0.0,0.0,24.01,21.0,21.27,5.0,0.18,0.0,0.0,1.0,1.03,1.02
