lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
84751978478451,2020,Bear-Barrie,EDM,pairing,5on5,19,614.0,153.0,0.45,0.29,0.33,2.06,0.42,0.2,0.35,0.07,1.15,0.82,0.42,0.42,0.42,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,6.0,2.0,2.0,2.0,0.0,1.0,0.1,0.0,0.32,0.0,0.0,1.0,4.11,3.0,3.05,2.0,0.04,0.0,0.0,0.47,0.47,0.47,4.46,0.52,0.31,1.01,0.13,2.33,1.7,0.52,0.54,0.54,4.0,2.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,6.0,0.0,0.0,1.0,9.0,2.0,4.0,4.0,1.0,1.0,0.14,0.17,0.21,0.0,0.0,0.0,9.91,6.0,6.13,3.0,0.06,0.0,0.0,0.58,0.6,0.6
84793768480879,2020,Mete-Bernard-Docker,OTT,pairing,5on5,3,705.0,18.0,0.64,0.67,0.69,6.34,0.43,0.38,1.71,0.23,3.72,2.54,0.43,0.43,0.43,5.0,4.0,1.0,10.0,1.0,0.0,0.0,1.0,1.0,4.0,2.0,4.0,8.0,1.0,2.0,6.0,7.0,0.0,0.0,6.0,3.0,0.0,0.1,0.33,0.0,0.0,1.0,0.0,9.62,9.0,8.72,0.0,0.08,0.0,0.0,0.51,0.51,0.5,3.22,0.24,0.18,0.89,0.11,1.26,1.31,0.24,0.25,0.25,3.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,5.0,0.0,4.0,3.0,0.0,1.0,0.04,0.0,0.21,0.0,0.0,0.0,5.18,4.0,4.15,1.0,0.04,0.0,0.0,0.28,0.3,0.3
847572684758488476479,2020,Toffoli-Danault-Gallagher,MTL,line,5on5,9,3958.0,52.0,0.53,0.65,0.66,44.41,2.54,2.96,10.71,1.42,27.85,19.51,2.52,2.52,2.49,46.0,19.0,20.0,85.0,5.0,0.0,0.0,7.0,1.0,26.0,26.0,41.0,60.0,2.0,4.0,32.0,40.0,6.0,15.0,55.0,10.0,0.0,1.44,1.1,0.0,2.0,3.0,0.0,82.05,65.0,62.92,13.0,0.6,0.0,0.0,3.14,3.1,3.07,23.8,2.22,1.52,5.1,0.79,13.22,10.13,2.13,2.25,2.15,24.0,9.0,13.0,46.0,2.0,2.0,2.0,8.0,2.0,6.0,13.0,22.0,31.0,0.0,0.0,39.0,20.0,4.0,16.0,25.0,7.0,1.0,0.9,0.81,0.52,1.0,0.0,1.0,47.67,33.0,34.16,15.0,0.31,0.59,0.59,1.95,1.97,1.95
84768538478408,2020,Rielly-Dermott,TOR,pairing,5on5,43,3851.0,269.0,0.64,0.52,0.56,33.53,3.49,2.5,7.28,0.97,18.22,12.52,3.33,3.51,3.36,35.0,10.0,8.0,53.0,0.0,2.0,0.0,8.0,2.0,14.0,19.0,35.0,45.0,3.0,6.0,13.0,32.0,10.0,15.0,31.0,10.0,4.0,1.14,1.22,1.13,0.0,0.0,0.0,53.71,45.0,45.51,7.0,0.53,0.61,0.61,3.4,3.42,3.28,26.28,1.99,1.7,6.14,0.75,14.14,10.27,1.96,2.04,2.0,24.0,11.0,13.0,48.0,1.0,0.0,0.0,7.0,0.0,13.0,14.0,23.0,34.0,6.0,12.0,18.0,33.0,4.0,10.0,24.0,10.0,1.0,0.65,1.14,0.21,1.0,0.0,0.0,47.56,35.0,34.95,9.0,0.35,0.0,0.0,2.34,2.4,2.35
84751718481599,2020,Ekman-Larsson-Soderstrom,ARI,pairing,5on5,2,1988.0,4.0,0.39,0.46,0.44,11.8,0.86,0.82,2.63,0.32,6.58,4.79,0.85,0.89,0.88,14.0,2.0,3.0,19.0,1.0,0.0,0.0,4.0,0.0,4.0,7.0,13.0,15.0,0.0,0.0,9.0,6.0,3.0,1.0,13.0,2.0,1.0,0.32,0.31,0.23,1.0,0.0,0.0,19.6,16.0,16.4,0.0,0.17,0.0,0.0,1.02,1.06,1.05,14.67,1.34,0.99,3.75,0.43,7.86,5.63,1.31,1.28,1.25,19.0,1.0,2.0,22.0,0.0,2.0,0.0,6.0,0.0,5.0,7.0,19.0,20.0,0.0,0.0,11.0,5.0,5.0,7.0,14.0,4.0,2.0,0.37,0.43,0.54,0.0,0.0,0.0,21.29,20.0,19.42,3.0,0.21,0.38,0.38,1.17,1.13,1.12
847354484735488479465,2020,Caggiula-Brassard-Kessel,ARI,line,5on5,5,826.0,48.0,0.7,0.62,0.63,7.41,0.77,0.51,1.85,0.23,3.77,2.88,0.75,0.7,0.69,6.0,4.0,6.0,16.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,6.0,10.0,0.0,0.0,3.0,14.0,1.0,3.0,6.0,3.0,1.0,0.17,0.33,0.26,0.0,0.0,0.0,15.17,10.0,9.34,0.0,0.11,0.3,0.3,0.57,0.53,0.52,4.47,0.33,0.27,1.19,0.14,2.3,1.78,0.32,0.35,0.34,6.0,0.0,4.0,10.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,6.0,6.0,2.0,4.0,7.0,7.0,1.0,3.0,4.0,2.0,0.0,0.06,0.27,0.0,0.0,0.0,0.0,10.84,6.0,6.37,2.0,0.06,0.0,0.0,0.38,0.41,0.4
84757908478469,2020,Chabot-Gudbranson,OTT,pairing,5on5,32,4850.0,176.0,0.47,0.53,0.54,46.05,3.23,2.89,11.1,1.56,25.95,20.27,3.04,3.21,3.03,51.0,14.0,15.0,80.0,1.0,5.0,0.0,17.0,2.0,17.0,23.0,50.0,64.0,14.0,34.0,27.0,55.0,6.0,15.0,54.0,9.0,2.0,1.56,1.12,0.55,0.0,1.0,0.0,78.52,65.0,64.02,11.0,0.59,0.9,0.9,2.92,2.9,2.87,39.61,3.71,2.79,9.87,1.43,22.13,15.07,3.45,3.79,3.53,38.0,17.0,17.0,72.0,4.0,3.0,2.0,12.0,1.0,16.0,19.0,34.0,51.0,10.0,28.0,35.0,26.0,6.0,16.0,38.0,12.0,5.0,1.08,1.36,1.26,1.0,1.0,2.0,73.69,55.0,56.36,5.0,0.58,0.77,0.77,3.51,3.57,3.53
847075584757148479671,2020,Jarnkrok-Richardson-Olivier,NSH,line,5on5,3,1056.0,19.0,0.79,0.48,0.69,5.81,0.42,0.4,1.52,0.2,3.88,2.58,0.42,0.42,0.41,8.0,1.0,2.0,11.0,1.0,1.0,1.0,2.0,0.0,1.0,4.0,7.0,8.0,0.0,0.0,10.0,10.0,1.0,1.0,8.0,0.0,1.0,0.15,0.0,0.27,0.0,0.0,1.0,10.73,9.0,8.81,0.0,0.08,0.27,0.27,0.23,0.22,0.22,2.8,0.11,0.15,0.81,0.09,1.63,1.21,0.11,0.12,0.12,1.0,3.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,1.0,2.0,7.0,9.0,0.0,1.0,4.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,12.33,4.0,4.12,0.0,0.03,0.0,0.0,0.14,0.15,0.15
84779388479372,2020,Fleury-Mahura,ANA,pairing,5on5,1,750.0,2.0,0.46,0.58,0.56,6.59,0.44,0.38,1.71,0.2,3.65,2.61,0.44,0.46,0.46,4.0,5.0,6.0,15.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,4.0,9.0,0.0,0.0,5.0,5.0,0.0,2.0,7.0,2.0,0.0,0.13,0.31,0.0,0.0,0.0,0.0,15.37,9.0,9.14,2.0,0.08,0.0,0.0,0.52,0.54,0.54,4.83,0.52,0.38,1.15,0.2,2.76,1.99,0.52,0.52,0.51,4.0,3.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,7.0,0.0,0.0,4.0,4.0,1.0,2.0,4.0,3.0,0.0,0.14,0.38,0.0,0.0,0.0,0.0,10.89,7.0,7.07,2.0,0.08,0.0,0.0,0.6,0.59,0.59
847579884768878479316,2020,Forsberg-Granlund-Kunin,NSH,line,5on5,3,821.0,18.0,0.2,0.45,0.38,4.22,0.21,0.28,1.09,0.13,2.52,1.76,0.21,0.21,0.21,5.0,1.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,6.0,0.0,0.0,8.0,6.0,1.0,2.0,6.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,9.88,6.0,5.96,1.0,0.06,0.0,0.0,0.27,0.28,0.27,7.48,0.82,0.48,1.63,0.21,3.72,3.14,0.79,0.8,0.77,6.0,4.0,2.0,12.0,0.0,1.0,0.0,2.0,0.0,1.0,6.0,6.0,10.0,0.0,0.0,6.0,7.0,2.0,5.0,8.0,1.0,1.0,0.28,0.16,0.37,0.0,0.0,0.0,12.14,10.0,10.07,3.0,0.1,0.37,0.37,0.55,0.54,0.54
