playerId: 8470140, season: 2016, name: Kari Lehtonen, team: DAL, position: G, situation: other, games_played: 59, icetime: 3512.0, xGoals: 8.27, goals: 10.0, unblocked_shot_attempts: 106.0, xRebounds: 4.7, rebounds: 7.0, xFreeze: 11.14, freeze: 6.0, xOnGoal: 61.35, ongoal: 57.0, xPlayStopped: 1.23, playStopped: 4.0, xPlayContinuedInZone: 34.66, playContinuedInZone: 32.0, xPlayContinuedOutsideZone: 21.12, playContinuedOutsideZone: 24.0, flurryAdjustedxGoals: 7.74, lowDangerShots: 47.0, mediumDangerShots: 26.0, highDangerShots: 9.0, lowDangerxGoals: 1.57, mediumDangerxGoals: 3.16, highDangerxGoals: 3.54, lowDangerGoals: 2.0, mediumDangerGoals: 5.0, highDangerGoals: 3.0, blocked_shot_attempts: 24.0, penalityMinutes: 0.0, penalties: 0.0

playerId: 8470140, season: 2016, name: Kari Lehtonen, team: DAL, position: G, situation: all, games_played: 59, icetime: 190629.0, xGoals: 161.81, goals: 151.0, unblocked_shot_attempts: 3061.0, xRebounds: 112.31, rebounds: 155.0, xFreeze: 369.81, freeze: 344.0, xOnGoal: 1608.67, ongoal: 1547.0, xPlayStopped: 52.41, playStopped: 62.0, xPlayContinuedInZone: 873.89, playContinuedInZone: 692.0, xPlayContinuedOutsideZone: 642.65, playContinuedOutsideZone: 815.0, flurryAdjustedxGoals: 154.06, lowDangerShots: 1582.0, mediumDangerShots: 458.0, highDangerShots: 174.0, lowDangerxGoals: 46.94, mediumDangerxGoals: 57.21, highDangerxGoals: 57.66, lowDangerGoals: 47.0, mediumDangerGoals: 58.0, highDangerGoals: 46.0, blocked_shot_attempts: 847.0, penalityMinutes: 4.0, penalties: 2.0

playerId: 8470140, season: 2016, name: Kari Lehtonen, team: DAL, position: G, situation: 5on5, games_played: 59, icetime: 158360.0, xGoals: 112.72, goals: 94.0, unblocked_shot_attempts: 2502.0, xRebounds: 86.84, rebounds: 113.0, xFreeze: 310.83, freeze: 297.0, xOnGoal: 1294.15, ongoal: 1242.0, xPlayStopped: 42.24, playStopped: 48.0, xPlayContinuedInZone: 704.36, playContinuedInZone: 561.0, xPlayContinuedOutsideZone: 527.8, playContinuedOutsideZone: 675.0, flurryAdjustedxGoals: 108.22, lowDangerShots: 1319.0, mediumDangerShots: 365.0, highDangerShots: 102.0, lowDangerxGoals: 38.88, mediumDangerxGoals: 45.62, highDangerxGoals: 28.23, lowDangerGoals: 37.0, mediumDangerGoals: 38.0, highDangerGoals: 19.0, blocked_shot_attempts: 716.0, penalityMinutes: 4.0, penalties: 2.0

playerId: 8470140, season: 2016, name: Kari Lehtonen, team: DAL, position: G, situation: 4on5, games_played: 59, icetime: 13342.0, xGoals: 34.67, goals: 38.0, unblocked_shot_attempts: 381.0, xRebounds: 18.21, rebounds: 31.0, xFreeze: 41.93, freeze: 34.0, xOnGoal: 207.36, ongoal: 201.0, xPlayStopped: 0.91, playStopped: 0.0, xPlayContinuedInZone: 120.66, playContinuedInZone: 92.0, xPlayContinuedOutsideZone: 62.81, playContinuedOutsideZone: 84.0, flurryAdjustedxGoals: 32.02, lowDangerShots: 182.0, mediumDangerShots: 51.0, highDangerShots: 52.0, lowDangerxGoals: 5.47, mediumDangerxGoals: 6.43, highDangerxGoals: 22.77, lowDangerGoals: 5.0, mediumDangerGoals: 12.0, highDangerGoals: 21.0, blocked_shot_attempts: 96.0, penalityMinutes: 0.0, penalties: 0.0

playerId: 8470140, season: 2016, name: Kari Lehtonen, team: DAL, position: G, situation: 5on4, games_played: 59, icetime: 15415.0, xGoals: 5.26, goals: 7.0, unblocked_shot_attempts: 63.0, xRebounds: 2.09, rebounds: 4.0, xFreeze: 4.88, freeze: 6.0, xOnGoal: 39.79, ongoal: 41.0, xPlayStopped: 7.63, playStopped: 9.0, xPlayContinuedInZone: 11.52, playContinuedInZone: 6.0, xPlayContinuedOutsideZone: 28.17, playContinuedOutsideZone: 28.0, flurryAdjustedxGoals: 5.21, lowDangerShots: 31.0, mediumDangerShots: 12.0, highDangerShots: 10.0, lowDangerxGoals: 0.9, mediumDangerxGoals: 1.56, highDangerxGoals: 2.81, lowDangerGoals: 3.0, mediumDangerGoals: 2.0, highDangerGoals: 2.0, blocked_shot_attempts: 10.0, penalityMinutes: 0.0, penalties: 0.0

playerId: 8470147, season: 2016, name: Curtis McElhinney, team: TOR, position: G, situation: other, games_played: 21, icetime: 2413.0, xGoals: 7.1, goals: 2.0, unblocked_shot_attempts: 57.0, xRebounds: 1.92, rebounds: 3.0, xFreeze: 6.23, freeze: 6.0, xOnGoal: 33.06, ongoal: 34.0, xPlayStopped: 0.8, playStopped: 1.0, xPlayContinuedInZone: 16.45, playContinuedInZone: 14.0, xPlayContinuedOutsideZone: 11.19, playContinuedOutsideZone: 18.0, flurryAdjustedxGoals: 5.56, lowDangerShots: 22.0, mediumDangerShots: 12.0, highDangerShots: 10.0, lowDangerxGoals: 0.76, mediumDangerxGoals: 1.57, highDangerxGoals: 4.78, lowDangerGoals: 1.0, mediumDangerGoals: 0.0, highDangerGoals: 1.0, blocked_shot_attempts: 13.0, penalityMinutes: 0.0, penalties: 0.0

