name: Curtis McElhinney, season: 2011, playerId: 8470147, team: ARI, position: G, situation: 5on5, games_played: 2, icetime: 3692.0, xGoals: 2.21, goals: 2.0, unblocked_shot_attempts: 47.0, xRebounds: 1.78, rebounds: 1.0, xFreeze: 6.09, freeze: 10.0, xOnGoal: 28.18, ongoal: 29.0, xPlayStopped: 1.03, playStopped: 1.0, xPlayContinuedInZone: 14.84, playContinuedInZone: 12.0, xPlayContinuedOutsideZone: 12.05, playContinuedOutsideZone: 13.0, flurryAdjustedxGoals: 2.13, lowDangerShots: 30.0, mediumDangerShots: 6.0, highDangerShots: 2.0, lowDangerxGoals: 0.99, mediumDangerxGoals: 0.67, highDangerxGoals: 0.54, lowDangerGoals: 1.0, mediumDangerGoals: 0.0, highDangerGoals: 1.0, blocked_shot_attempts: 9.0, penalityMinutes: 0.0, penalties: 0.0

name: Curtis McElhinney, season: 2011, playerId: 8470147, team: ARI, position: G, situation: 4on5, games_played: 2, icetime: 240.0, xGoals: 0.6, goals: 0.0, unblocked_shot_attempts: 7.0, xRebounds: 0.46, rebounds: 0.0, xFreeze: 0.95, freeze: 1.0, xOnGoal: 4.96, ongoal: 3.0, xPlayStopped: 0.0, playStopped: 0.0, xPlayContinuedInZone: 3.36, playContinuedInZone: 3.0, xPlayContinuedOutsideZone: 1.48, playContinuedOutsideZone: 2.0, flurryAdjustedxGoals: 0.55, lowDangerShots: 4.0, mediumDangerShots: 2.0, highDangerShots: 1.0, lowDangerxGoals: 0.14, mediumDangerxGoals: 0.19, highDangerxGoals: 0.26, lowDangerGoals: 0.0, mediumDangerGoals: 0.0, highDangerGoals: 0.0, blocked_shot_attempts: 0.0, penalityMinutes: 0.0, penalties: 0.0

name: Curtis McElhinney, season: 2011, playerId: 8470147, team: ARI, position: G, situation: 5on4, games_played: 2, icetime: 303.0, xGoals: 0.03, goals: 0.0, unblocked_shot_attempts: 1.0, xRebounds: 0.02, rebounds: 0.0, xFreeze: 0.19, freeze: 0.0, xOnGoal: 0.79, ongoal: 0.0, xPlayStopped: 0.22, playStopped: 1.0, xPlayContinuedInZone: 0.23, playContinuedInZone: 0.0, xPlayContinuedOutsideZone: 0.51, playContinuedOutsideZone: 1.0, flurryAdjustedxGoals: 0.03, lowDangerShots: 1.0, mediumDangerShots: 0.0, highDangerShots: 0.0, lowDangerxGoals: 0.03, mediumDangerxGoals: 0.0, highDangerxGoals: 0.0, lowDangerGoals: 0.0, mediumDangerGoals: 0.0, highDangerGoals: 0.0, blocked_shot_attempts: 0.0, penalityMinutes: 0.0, penalties: 0.0

name: Tim Thomas, season: 2011, playerId: 8460703, team: BOS, position: G, situation: other, games_played: 59, icetime: 5629.0, xGoals: 14.16, goals: 7.0, unblocked_shot_attempts: 169.0, xRebounds: 7.15, rebounds: 8.0, xFreeze: 18.83, freeze: 21.0, xOnGoal: 96.25, ongoal: 98.0, xPlayStopped: 2.23, playStopped: 3.0, xPlayContinuedInZone: 55.58, playContinuedInZone: 42.0, xPlayContinuedOutsideZone: 33.92, playContinuedOutsideZone: 45.0, flurryAdjustedxGoals: 13.01, lowDangerShots: 78.0, mediumDangerShots: 35.0, highDangerShots: 20.0, lowDangerxGoals: 2.66, mediumDangerxGoals: 4.15, highDangerxGoals: 7.35, lowDangerGoals: 1.0, mediumDangerGoals: 3.0, highDangerGoals: 3.0, blocked_shot_attempts: 36.0, penalityMinutes: 0.0, penalties: 0.0

name: Tim Thomas, season: 2011, playerId: 8460703, team: BOS, position: G, situation: all, games_played: 59, icetime: 201091.0, xGoals: 129.3, goals: 132.0, unblocked_shot_attempts: 2893.0, xRebounds: 102.73, rebounds: 77.0, xFreeze: 359.41, freeze: 415.0, xOnGoal: 1575.35, ongoal: 1659.0, xPlayStopped: 55.31, playStopped: 64.0, xPlayContinuedInZone: 873.72, playContinuedInZone: 649.0, xPlayContinuedOutsideZone: 680.72, playContinuedOutsideZone: 877.0, flurryAdjustedxGoals: 125.16, lowDangerShots: 1702.0, mediumDangerShots: 384.0, highDangerShots: 111.0, lowDangerxGoals: 47.13, mediumDangerxGoals: 46.16, highDangerxGoals: 36.01, lowDangerGoals: 47.0, mediumDangerGoals: 47.0, highDangerGoals: 38.0, blocked_shot_attempts: 696.0, penalityMinutes: 0.0, penalties: 0.0

name: Tim Thomas, season: 2011, playerId: 8460703, team: BOS, position: G, situation: 5on5, games_played: 59, icetime: 161815.0, xGoals: 89.69, goals: 97.0, unblocked_shot_attempts: 2273.0, xRebounds: 75.65, rebounds: 56.0, xFreeze: 290.79, freeze: 338.0, xOnGoal: 1226.02, ongoal: 1293.0, xPlayStopped: 44.25, playStopped: 52.0, xPlayContinuedInZone: 670.04, playContinuedInZone: 476.0, xPlayContinuedOutsideZone: 537.22, playContinuedOutsideZone: 711.0, flurryAdjustedxGoals: 87.66, lowDangerShots: 1356.0, mediumDangerShots: 280.0, highDangerShots: 67.0, lowDangerxGoals: 37.44, mediumDangerxGoals: 34.04, highDangerxGoals: 18.22, lowDangerGoals: 36.0, mediumDangerGoals: 40.0, highDangerGoals: 21.0, blocked_shot_attempts: 570.0, penalityMinutes: 0.0, penalties: 0.0

name: Tim Thomas, season: 2011, playerId: 8460703, team: BOS, position: G, situation: 4on5, games_played: 59, icetime: 15853.0, xGoals: 23.35, goals: 27.0, unblocked_shot_attempts: 382.0, xRebounds: 18.45, rebounds: 11.0, xFreeze: 44.25, freeze: 47.0, xOnGoal: 214.53, ongoal: 223.0, xPlayStopped: 1.23, playStopped: 0.0, xPlayContinuedInZone: 136.33, playContinuedInZone: 115.0, xPlayContinuedOutsideZone: 73.66, playContinuedOutsideZone: 93.0, flurryAdjustedxGoals: 22.4, lowDangerShots: 217.0, mediumDangerShots: 63.0, highDangerShots: 23.0, lowDangerxGoals: 5.95, mediumDangerxGoals: 7.22, highDangerxGoals: 10.19, lowDangerGoals: 10.0, mediumDangerGoals: 4.0, highDangerGoals: 13.0, blocked_shot_attempts: 79.0, penalityMinutes: 0.0, penalties: 0.0

name: Tim Thomas, season: 2011, playerId: 8460703, team: BOS, position: G, situation: 5on4, games_played: 59, icetime: 17794.0, xGoals: 1.9, goals: 1.0, unblocked_shot_attempts: 61.0, xRebounds: 1.28, rebounds: 2.0, xFreeze: 4.97, freeze: 9.0, xOnGoal: 35.83, ongoal: 42.0, xPlayStopped: 7.38, playStopped: 8.0, xPlayContinuedInZone: 10.33, playContinuedInZone: 14.0, xPlayContinuedOutsideZone: 33.45, playContinuedOutsideZone: 25.0, flurryAdjustedxGoals: 1.89, lowDangerShots: 47.0, mediumDangerShots: 5.0, highDangerShots: 1.0, lowDangerxGoals: 1.01, mediumDangerxGoals: 0.64, highDangerxGoals: 0.25, lowDangerGoals: 0.0, mediumDangerGoals: 0.0, highDangerGoals: 1.0, blocked_shot_attempts: 8.0, penalityMinutes: 0.0, penalties: 0.0

name: Mathieu Garon, season: 2011, playerId: 8464999, team: T.B, position: G, situation: other, games_played: 48, icetime: 3900.0, xGoals: 5.58, goals: 6.0, unblocked_shot_attempts: 107.0, xRebounds: 4.15, rebounds: 4.0, xFreeze: 10.98, freeze: 15.0, xOnGoal: 55.52, ongoal: 56.0, xPlayStopped: 1.53, playStopped: 3.0, xPlayContinuedInZone: 30.99, playContinuedInZone: 27.0, xPlayContinuedOutsideZone: 21.48, playContinuedOutsideZone: 23.0, flurryAdjustedxGoals: 5.37, lowDangerShots: 50.0, mediumDangerShots: 23.0, highDangerShots: 2.0, lowDangerxGoals: 1.91, mediumDangerxGoals: 2.81, highDangerxGoals: 0.87, lowDangerGoals: 2.0, mediumDangerGoals: 2.0, highDangerGoals: 2.0, blocked_shot_attempts: 32.0, penalityMinutes: 0.0, penalties: 0.0

name: Mathieu Garon, season: 2011, playerId: 8464999, team: T.B, position: G, situation: all, games_played: 48, icetime: 149025.0, xGoals: 105.41, goals: 118.0, unblocked_shot_attempts: 2351.0, xRebounds: 84.59, rebounds: 79.0, xFreeze: 269.84, freeze: 252.0, xOnGoal: 1211.05, ongoal: 1192.0, xPlayStopped: 34.19, playStopped: 26.0, xPlayContinuedInZone: 677.07, playContinuedInZone: 548.0, xPlayContinuedOutsideZone: 512.21, playContinuedOutsideZone: 656.0, flurryAdjustedxGoals: 101.23, lowDangerShots: 1277.0, mediumDangerShots: 315.0, highDangerShots: 96.0, lowDangerxGoals: 37.47, mediumDangerxGoals: 37.79, highDangerxGoals: 30.15, lowDangerGoals: 38.0, mediumDangerGoals: 47.0, highDangerGoals: 33.0, blocked_shot_attempts: 663.0, penalityMinutes: 0.0, penalties: 0.0

name: Mathieu Garon, season: 2011, playerId: 8464999, team: T.B, position: G, situation: 5on5, games_played: 48, icetime: 120415.0, xGoals: 75.58, goals: 84.0, unblocked_shot_attempts: 1814.0, xRebounds: 61.85, rebounds: 65.0, xFreeze: 215.85, freeze: 197.0, xOnGoal: 935.35, ongoal: 926.0, xPlayStopped: 27.61, playStopped: 17.0, xPlayContinuedInZone: 517.95, playContinuedInZone: 417.0, xPlayContinuedOutsideZone: 400.62, playContinuedOutsideZone: 511.0, flurryAdjustedxGoals: 73.07, lowDangerShots: 996.0, mediumDangerShots: 241.0, highDangerShots: 65.0, lowDangerxGoals: 29.06, mediumDangerxGoals: 28.83, highDangerxGoals: 17.69, lowDangerGoals: 29.0, mediumDangerGoals: 36.0, highDangerGoals: 19.0, blocked_shot_attempts: 512.0, penalityMinutes: 0.0, penalties: 0.0

name: Mathieu Garon, season: 2011, playerId: 8464999, team: T.B, position: G, situation: 4on5, games_played: 48, icetime: 13334.0, xGoals: 20.69, goals: 23.0, unblocked_shot_attempts: 360.0, xRebounds: 16.81, rebounds: 10.0, xFreeze: 37.78, freeze: 35.0, xOnGoal: 181.82, ongoal: 174.0, xPlayStopped: 0.64, playStopped: 0.0, xPlayContinuedInZone: 116.69, playContinuedInZone: 94.0, xPlayContinuedOutsideZone: 61.2, playContinuedOutsideZone: 90.0, flurryAdjustedxGoals: 19.24, lowDangerShots: 191.0, mediumDangerShots: 45.0, highDangerShots: 23.0, lowDangerxGoals: 5.41, mediumDangerxGoals: 5.38, highDangerxGoals: 9.9, lowDangerGoals: 7.0, mediumDangerGoals: 8.0, highDangerGoals: 8.0, blocked_shot_attempts: 101.0, penalityMinutes: 0.0, penalties: 0.0

