playerId: 8470140, season: 2009, name: Kari Lehtonen, team: DAL, position: G, situation: 5on5, games_played: 12, icetime: 28531.0, xGoals: 21.59, goals: 20.0, unblocked_shot_attempts: 480.0, xRebounds: 17.46, rebounds: 16.0, xFreeze: 61.32, freeze: 76.0, xOnGoal: 263.17, ongoal: 267.0, xPlayStopped: 6.64, playStopped: 8.0, xPlayContinuedInZone: 145.3, playContinuedInZone: 118.0, xPlayContinuedOutsideZone: 112.04, playContinuedOutsideZone: 128.0, flurryAdjustedxGoals: 20.99, lowDangerShots: 280.0, mediumDangerShots: 68.0, highDangerShots: 18.0, lowDangerxGoals: 8.94, mediumDangerxGoals: 8.09, highDangerxGoals: 4.56, lowDangerGoals: 4.0, mediumDangerGoals: 9.0, highDangerGoals: 7.0, blocked_shot_attempts: 114.0, penalityMinutes: 0.0, penalties: 0.0

playerId: 8470140, season: 2009, name: Kari Lehtonen, team: DAL, position: G, situation: 4on5, games_played: 12, icetime: 4496.0, xGoals: 6.47, goals: 7.0, unblocked_shot_attempts: 126.0, xRebounds: 5.53, rebounds: 4.0, xFreeze: 12.33, freeze: 15.0, xOnGoal: 61.4, ongoal: 60.0, xPlayStopped: 0.2, playStopped: 0.0, xPlayContinuedInZone: 40.06, playContinuedInZone: 33.0, xPlayContinuedOutsideZone: 20.61, playContinuedOutsideZone: 27.0, flurryAdjustedxGoals: 6.08, lowDangerShots: 67.0, mediumDangerShots: 12.0, highDangerShots: 8.0, lowDangerxGoals: 1.63, mediumDangerxGoals: 1.5, highDangerxGoals: 3.34, lowDangerGoals: 1.0, mediumDangerGoals: 2.0, highDangerGoals: 4.0, blocked_shot_attempts: 39.0, penalityMinutes: 0.0, penalties: 0.0

playerId: 8470140, season: 2009, name: Kari Lehtonen, team: DAL, position: G, situation: 5on4, games_played: 12, icetime: 4185.0, xGoals: 1.07, goals: 1.0, unblocked_shot_attempts: 14.0, xRebounds: 0.47, rebounds: 0.0, xFreeze: 1.3, freeze: 0.0, xOnGoal: 10.64, ongoal: 8.0, xPlayStopped: 2.44, playStopped: 3.0, xPlayContinuedInZone: 3.28, playContinuedInZone: 5.0, xPlayContinuedOutsideZone: 7.58, playContinuedOutsideZone: 8.0, flurryAdjustedxGoals: 1.07, lowDangerShots: 8.0, mediumDangerShots: 6.0, highDangerShots: 0.0, lowDangerxGoals: 0.24, mediumDangerxGoals: 0.84, highDangerxGoals: 0.0, lowDangerGoals: 0.0, mediumDangerGoals: 1.0, highDangerGoals: 0.0, blocked_shot_attempts: 0.0, penalityMinutes: 0.0, penalties: 0.0

playerId: 8470147, season: 2009, name: Curtis McElhinney, team: ANA, position: G, situation: other, games_played: 20, icetime: 2367.0, xGoals: 4.22, goals: 4.0, unblocked_shot_attempts: 48.0, xRebounds: 2.02, rebounds: 2.0, xFreeze: 4.81, freeze: 5.0, xOnGoal: 26.06, ongoal: 28.0, xPlayStopped: 0.69, playStopped: 1.0, xPlayContinuedInZone: 14.08, playContinuedInZone: 15.0, xPlayContinuedOutsideZone: 9.44, playContinuedOutsideZone: 16.0, flurryAdjustedxGoals: 4.05, lowDangerShots: 25.0, mediumDangerShots: 13.0, highDangerShots: 4.0, lowDangerxGoals: 1.16, mediumDangerxGoals: 1.66, highDangerxGoals: 1.4, lowDangerGoals: 0.0, mediumDangerGoals: 2.0, highDangerGoals: 2.0, blocked_shot_attempts: 6.0, penalityMinutes: 0.0, penalties: 0.0

playerId: 8470147, season: 2009, name: Curtis McElhinney, team: ANA, position: G, situation: all, games_played: 20, icetime: 61132.0, xGoals: 45.65, goals: 51.0, unblocked_shot_attempts: 916.0, xRebounds: 33.48, rebounds: 31.0, xFreeze: 107.2, freeze: 91.0, xOnGoal: 485.22, ongoal: 523.0, xPlayStopped: 15.58, playStopped: 15.0, xPlayContinuedInZone: 279.67, playContinuedInZone: 242.0, xPlayContinuedOutsideZone: 200.75, playContinuedOutsideZone: 302.0, flurryAdjustedxGoals: 43.88, lowDangerShots: 570.0, mediumDangerShots: 126.0, highDangerShots: 34.0, lowDangerxGoals: 18.78, mediumDangerxGoals: 14.78, highDangerxGoals: 12.1, lowDangerGoals: 23.0, mediumDangerGoals: 16.0, highDangerGoals: 12.0, blocked_shot_attempts: 186.0, penalityMinutes: 0.0, penalties: 0.0

playerId: 8470147, season: 2009, name: Curtis McElhinney, team: ANA, position: G, situation: 5on5, games_played: 20, icetime: 47383.0, xGoals: 26.9, goals: 35.0, unblocked_shot_attempts: 667.0, xRebounds: 22.58, rebounds: 18.0, xFreeze: 80.37, freeze: 70.0, xOnGoal: 346.36, ongoal: 382.0, xPlayStopped: 12.11, playStopped: 12.0, xPlayContinuedInZone: 199.55, playContinuedInZone: 166.0, xPlayContinuedOutsideZone: 149.76, playContinuedOutsideZone: 224.0, flurryAdjustedxGoals: 26.36, lowDangerShots: 428.0, mediumDangerShots: 82.0, highDangerShots: 13.0, lowDangerxGoals: 14.13, mediumDangerxGoals: 9.65, highDangerxGoals: 3.12, lowDangerGoals: 19.0, mediumDangerGoals: 12.0, highDangerGoals: 4.0, blocked_shot_attempts: 144.0, penalityMinutes: 0.0, penalties: 0.0

playerId: 8470147, season: 2009, name: Curtis McElhinney, team: ANA, position: G, situation: 4on5, games_played: 20, icetime: 6109.0, xGoals: 13.88, goals: 12.0, unblocked_shot_attempts: 185.0, xRebounds: 8.47, rebounds: 11.0, xFreeze: 20.57, freeze: 14.0, xOnGoal: 102.03, ongoal: 103.0, xPlayStopped: 0.32, playStopped: 0.0, xPlayContinuedInZone: 62.79, playContinuedInZone: 57.0, xPlayContinuedOutsideZone: 32.64, playContinuedOutsideZone: 53.0, flurryAdjustedxGoals: 12.83, lowDangerShots: 104.0, mediumDangerShots: 29.0, highDangerShots: 17.0, lowDangerxGoals: 3.06, mediumDangerxGoals: 3.24, highDangerxGoals: 7.57, lowDangerGoals: 4.0, mediumDangerGoals: 2.0, highDangerGoals: 6.0, blocked_shot_attempts: 35.0, penalityMinutes: 0.0, penalties: 0.0

playerId: 8470147, season: 2009, name: Curtis McElhinney, team: ANA, position: G, situation: 5on4, games_played: 20, icetime: 5273.0, xGoals: 0.65, goals: 0.0, unblocked_shot_attempts: 16.0, xRebounds: 0.42, rebounds: 0.0, xFreeze: 1.45, freeze: 2.0, xOnGoal: 10.77, ongoal: 10.0, xPlayStopped: 2.46, playStopped: 2.0, xPlayContinuedInZone: 3.26, playContinuedInZone: 4.0, xPlayContinuedOutsideZone: 8.9, playContinuedOutsideZone: 9.0, flurryAdjustedxGoals: 0.65, lowDangerShots: 13.0, mediumDangerShots: 2.0, highDangerShots: 0.0, lowDangerxGoals: 0.44, mediumDangerxGoals: 0.22, highDangerxGoals: 0.0, lowDangerGoals: 0.0, mediumDangerGoals: 0.0, highDangerGoals: 0.0, blocked_shot_attempts: 1.0, penalityMinutes: 0.0, penalties: 0.0

playerId: 8468011, season: 2009, name: Ryan Miller, team: BUF, position: G, situation: other, games_played: 69, icetime: 8382.0, xGoals: 13.4, goals: 13.0, unblocked_shot_attempts: 224.0, xRebounds: 8.53, rebounds: 6.0, xFreeze: 22.45, freeze: 20.0, xOnGoal: 112.43, ongoal: 111.0, xPlayStopped: 3.01, playStopped: 5.0, xPlayContinuedInZone: 67.14, playContinuedInZone: 61.0, xPlayContinuedOutsideZone: 46.61, playContinuedOutsideZone: 60.0, flurryAdjustedxGoals: 12.86, lowDangerShots: 110.0, mediumDangerShots: 47.0, highDangerShots: 10.0, lowDangerxGoals: 4.24, mediumDangerxGoals: 5.98, highDangerxGoals: 3.19, lowDangerGoals: 6.0, mediumDangerGoals: 4.0, highDangerGoals: 3.0, blocked_shot_attempts: 57.0, penalityMinutes: 0.0, penalties: 0.0

playerId: 8468011, season: 2009, name: Ryan Miller, team: BUF, position: G, situation: all, games_played: 69, icetime: 241943.0, xGoals: 179.38, goals: 150.0, unblocked_shot_attempts: 3715.0, xRebounds: 139.69, rebounds: 118.0, xFreeze: 446.64, freeze: 467.0, xOnGoal: 2024.6, ongoal: 2098.0, xPlayStopped: 63.65, playStopped: 75.0, xPlayContinuedInZone: 1134.42, playContinuedInZone: 873.0, xPlayContinuedOutsideZone: 882.66, playContinuedOutsideZone: 1217.0, flurryAdjustedxGoals: 173.26, lowDangerShots: 2169.0, mediumDangerShots: 581.0, highDangerShots: 137.0, lowDangerxGoals: 67.3, mediumDangerxGoals: 70.4, highDangerxGoals: 41.69, lowDangerGoals: 59.0, mediumDangerGoals: 51.0, highDangerGoals: 40.0, blocked_shot_attempts: 828.0, penalityMinutes: 4.0, penalties: 2.0

playerId: 8468011, season: 2009, name: Ryan Miller, team: BUF, position: G, situation: 5on5, games_played: 69, icetime: 190362.0, xGoals: 127.4, goals: 115.0, unblocked_shot_attempts: 2819.0, xRebounds: 100.84, rebounds: 82.0, xFreeze: 352.35, freeze: 374.0, xOnGoal: 1539.47, ongoal: 1598.0, xPlayStopped: 49.41, playStopped: 61.0, xPlayContinuedInZone: 854.5, playContinuedInZone: 633.0, xPlayContinuedOutsideZone: 669.73, playContinuedOutsideZone: 928.0, flurryAdjustedxGoals: 123.84, lowDangerShots: 1657.0, mediumDangerShots: 434.0, highDangerShots: 86.0, lowDangerxGoals: 52.07, mediumDangerxGoals: 51.95, highDangerxGoals: 23.37, lowDangerGoals: 49.0, mediumDangerGoals: 42.0, highDangerGoals: 24.0, blocked_shot_attempts: 642.0, penalityMinutes: 4.0, penalties: 2.0

playerId: 8468011, season: 2009, name: Ryan Miller, team: BUF, position: G, situation: 4on5, games_played: 69, icetime: 21359.0, xGoals: 30.39, goals: 20.0, unblocked_shot_attempts: 536.0, xRebounds: 26.26, rebounds: 23.0, xFreeze: 60.68, freeze: 65.0, xOnGoal: 290.54, ongoal: 294.0, xPlayStopped: 1.1, playStopped: 0.0, xPlayContinuedInZone: 187.39, playContinuedInZone: 156.0, xPlayContinuedOutsideZone: 100.3, playContinuedOutsideZone: 150.0, flurryAdjustedxGoals: 28.71, lowDangerShots: 317.0, mediumDangerShots: 72.0, highDangerShots: 34.0, lowDangerxGoals: 8.44, mediumDangerxGoals: 8.93, highDangerxGoals: 13.02, lowDangerGoals: 4.0, mediumDangerGoals: 5.0, highDangerGoals: 11.0, blocked_shot_attempts: 113.0, penalityMinutes: 0.0, penalties: 0.0

playerId: 8468011, season: 2009, name: Ryan Miller, team: BUF, position: G, situation: 5on4, games_played: 69, icetime: 21840.0, xGoals: 7.15, goals: 2.0, unblocked_shot_attempts: 120.0, xRebounds: 3.52, rebounds: 5.0, xFreeze: 8.79, freeze: 8.0, xOnGoal: 72.49, ongoal: 84.0, xPlayStopped: 9.81, playStopped: 9.0, xPlayContinuedInZone: 21.33, playContinuedInZone: 20.0, xPlayContinuedOutsideZone: 60.37, playContinuedOutsideZone: 70.0, flurryAdjustedxGoals: 6.88, lowDangerShots: 75.0, mediumDangerShots: 25.0, highDangerShots: 6.0, lowDangerxGoals: 2.2, mediumDangerxGoals: 3.18, highDangerxGoals: 1.77, lowDangerGoals: 0.0, mediumDangerGoals: 0.0, highDangerGoals: 2.0, blocked_shot_attempts: 14.0, penalityMinutes: 0.0, penalties: 0.0

playerId: 8462117, season: 2009, name: Vesa Toskala, team: CGY, position: G, situation: other, games_played: 32, icetime: 3273.0, xGoals: 5.63, goals: 6.0, unblocked_shot_attempts: 66.0, xRebounds: 3.01, rebounds: 3.0, xFreeze: 6.92, freeze: 5.0, xOnGoal: 36.85, ongoal: 31.0, xPlayStopped: 1.06, playStopped: 1.0, xPlayContinuedInZone: 21.13, playContinuedInZone: 25.0, xPlayContinuedOutsideZone: 12.01, playContinuedOutsideZone: 9.0, flurryAdjustedxGoals: 5.32, lowDangerShots: 35.0, mediumDangerShots: 6.0, highDangerShots: 9.0, lowDangerxGoals: 1.28, mediumDangerxGoals: 0.76, highDangerxGoals: 3.59, lowDangerGoals: 1.0, mediumDangerGoals: 1.0, highDangerGoals: 4.0, blocked_shot_attempts: 16.0, penalityMinutes: 0.0, penalties: 0.0

playerId: 8462117, season: 2009, name: Vesa Toskala, team: CGY, position: G, situation: all, games_played: 32, icetime: 96297.0, xGoals: 77.94, goals: 93.0, unblocked_shot_attempts: 1493.0, xRebounds: 56.1, rebounds: 40.0, xFreeze: 175.7, freeze: 166.0, xOnGoal: 808.67, ongoal: 773.0, xPlayStopped: 28.47, playStopped: 28.0, xPlayContinuedInZone: 444.05, playContinuedInZone: 360.0, xPlayContinuedOutsideZone: 331.42, playContinuedOutsideZone: 422.0, flurryAdjustedxGoals: 74.13, lowDangerShots: 817.0, mediumDangerShots: 217.0, highDangerShots: 77.0, lowDangerxGoals: 23.86, mediumDangerxGoals: 25.87, highDangerxGoals: 28.22, lowDangerGoals: 37.0, mediumDangerGoals: 26.0, highDangerGoals: 30.0, blocked_shot_attempts: 382.0, penalityMinutes: 4.0, penalties: 2.0

playerId: 8462117, season: 2009, name: Vesa Toskala, team: CGY, position: G, situation: 5on5, games_played: 32, icetime: 75167.0, xGoals: 47.11, goals: 56.0, unblocked_shot_attempts: 1125.0, xRebounds: 38.58, rebounds: 25.0, xFreeze: 135.44, freeze: 132.0, xOnGoal: 596.02, ongoal: 573.0, xPlayStopped: 22.93, playStopped: 23.0, xPlayContinuedInZone: 326.24, playContinuedInZone: 244.0, xPlayContinuedOutsideZone: 254.0, playContinuedOutsideZone: 338.0, flurryAdjustedxGoals: 45.63, lowDangerShots: 627.0, mediumDangerShots: 156.0, highDangerShots: 37.0, lowDangerxGoals: 18.58, mediumDangerxGoals: 18.64, highDangerxGoals: 9.89, lowDangerGoals: 31.0, mediumDangerGoals: 16.0, highDangerGoals: 9.0, blocked_shot_attempts: 305.0, penalityMinutes: 4.0, penalties: 2.0

playerId: 8462117, season: 2009, name: Vesa Toskala, team: CGY, position: G, situation: 4on5, games_played: 32, icetime: 8781.0, xGoals: 22.72, goals: 28.0, unblocked_shot_attempts: 261.0, xRebounds: 13.4, rebounds: 12.0, xFreeze: 30.19, freeze: 26.0, xOnGoal: 152.37, ongoal: 141.0, xPlayStopped: 0.7, playStopped: 0.0, xPlayContinuedInZone: 89.11, playContinuedInZone: 83.0, xPlayContinuedOutsideZone: 47.37, playContinuedOutsideZone: 58.0, flurryAdjustedxGoals: 20.71, lowDangerShots: 134.0, mediumDangerShots: 46.0, highDangerShots: 28.0, lowDangerxGoals: 3.4, mediumDangerxGoals: 5.4, highDangerxGoals: 13.92, lowDangerGoals: 4.0, mediumDangerGoals: 8.0, highDangerGoals: 16.0, blocked_shot_attempts: 53.0, penalityMinutes: 0.0, penalties: 0.0

