lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
847573884774768480018,2019,Lehkonen-Suzuki-Weal,MTL,line,5on5,8,836.0,87.0,0.74,0.72,0.65,9.84,0.95,0.62,2.7,0.28,4.93,3.52,0.88,0.85,0.79,10.0,3.0,8.0,21.0,1.0,0.0,0.0,4.0,0.0,3.0,5.0,9.0,12.0,0.0,0.0,10.0,6.0,4.0,2.0,9.0,2.0,2.0,0.25,0.21,0.49,0.0,0.0,1.0,18.94,13.0,12.0,2.0,0.13,0.0,0.0,1.08,0.97,0.91,5.04,0.33,0.33,1.24,0.14,2.95,2.01,0.33,0.36,0.36,5.0,2.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,6.0,0.0,0.0,5.0,7.0,2.0,7.0,6.0,1.0,0.0,0.21,0.12,0.0,1.0,0.0,0.0,8.84,7.0,7.65,7.0,0.07,0.0,0.0,0.39,0.43,0.43
847583484795808480384,2019,Sorensen-True-Gambrell,S.J,line,5on5,6,683.0,66.0,0.9,0.65,0.77,7.27,0.99,0.65,1.54,0.33,3.88,2.62,0.89,1.04,0.93,6.0,4.0,1.0,11.0,1.0,0.0,1.0,0.0,1.0,5.0,3.0,5.0,9.0,2.0,4.0,3.0,8.0,0.0,1.0,5.0,4.0,1.0,0.21,0.5,0.28,0.0,0.0,1.0,11.38,10.0,10.18,1.0,0.14,0.0,0.28,0.84,0.87,0.83,1.97,0.12,0.12,0.51,0.08,1.24,0.93,0.12,0.12,0.12,2.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,4.0,3.0,8.0,2.0,1.0,3.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,6.34,3.0,3.23,1.0,0.03,0.0,0.0,0.14,0.15,0.15
84716778474602,2019,Johnson-Schultz,PIT,pairing,5on5,33,10061.0,174.0,0.4,0.45,0.46,67.41,4.21,4.11,16.73,2.18,39.14,28.65,4.1,4.17,4.07,77.0,18.0,30.0,125.0,3.0,4.0,0.0,19.0,1.0,34.0,34.0,74.0,92.0,6.0,12.0,83.0,110.0,19.0,25.0,80.0,13.0,2.0,2.25,1.46,0.5,2.0,1.0,0.0,124.2,95.0,95.16,16.0,0.84,0.83,0.75,4.29,4.23,4.2,79.49,6.18,4.97,19.89,2.59,44.1,33.26,6.04,6.34,6.19,78.0,33.0,44.0,155.0,7.0,7.0,3.0,14.0,2.0,42.0,39.0,71.0,104.0,7.0,12.0,75.0,135.0,15.0,19.0,86.0,18.0,7.0,2.35,2.07,1.77,2.0,3.0,2.0,157.63,111.0,112.52,7.0,1.02,1.39,1.31,5.9,6.0,5.92
84768538478408,2019,Dermott-Rielly,TOR,pairing,5on5,24,1501.0,201.0,0.22,0.39,0.36,8.89,0.38,0.44,2.41,0.27,4.73,3.77,0.38,0.38,0.38,7.0,5.0,5.0,17.0,0.0,0.0,0.0,2.0,0.0,1.0,9.0,7.0,12.0,3.0,6.0,5.0,5.0,5.0,3.0,11.0,1.0,0.0,0.28,0.09,0.0,0.0,0.0,0.0,17.0,12.0,12.17,2.0,0.09,0.0,0.0,0.47,0.47,0.47,16.13,1.33,0.89,3.81,0.46,7.71,6.81,1.33,1.29,1.28,18.0,3.0,6.0,27.0,2.0,1.0,0.0,7.0,0.0,6.0,5.0,16.0,19.0,3.0,6.0,11.0,19.0,1.0,3.0,16.0,3.0,2.0,0.35,0.34,0.64,1.0,1.0,0.0,26.49,21.0,20.7,3.0,0.18,0.42,0.42,1.1,1.08,1.08
84767928479325,2019,Krug-Mcavoy,BOS,pairing,5on5,60,10644.0,366.0,0.61,0.6,0.56,104.44,9.24,7.22,24.75,3.34,59.38,42.07,9.06,9.14,8.96,106.0,40.0,72.0,218.0,12.0,5.0,2.0,26.0,4.0,56.0,43.0,94.0,134.0,7.0,14.0,95.0,61.0,27.0,22.0,114.0,24.0,8.0,4.23,2.78,2.23,3.0,6.0,3.0,214.31,146.0,143.02,12.0,1.5,1.43,1.2,9.54,9.44,9.28,81.36,5.9,5.28,18.93,2.69,46.15,34.04,5.82,5.97,5.89,69.0,44.0,34.0,147.0,8.0,4.0,3.0,14.0,4.0,27.0,56.0,61.0,105.0,19.0,38.0,69.0,72.0,37.0,32.0,90.0,19.0,4.0,2.72,2.17,1.02,3.0,1.0,4.0,147.01,113.0,113.31,17.0,1.08,0.84,0.84,6.14,6.23,6.18
847123384751518476399,2019,Coleman-Zajac-Palmieri,N.J,line,5on5,25,944.0,306.0,0.45,0.33,0.38,6.11,0.47,0.39,1.16,0.16,3.05,2.77,0.47,0.49,0.49,6.0,2.0,1.0,9.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0,4.0,6.0,2.0,4.0,12.0,5.0,1.0,5.0,6.0,2.0,0.0,0.23,0.24,0.0,1.0,1.0,0.0,9.15,8.0,8.2,5.0,0.08,0.0,0.0,0.55,0.57,0.57,9.39,0.59,0.62,2.15,0.27,5.21,4.16,0.58,0.63,0.62,10.0,3.0,5.0,18.0,1.0,0.0,0.0,2.0,0.0,2.0,8.0,9.0,12.0,1.0,2.0,7.0,6.0,3.0,1.0,11.0,2.0,0.0,0.3,0.29,0.0,0.0,1.0,0.0,18.14,13.0,13.14,0.0,0.13,0.0,0.0,0.72,0.76,0.75
847458984763268478402,2019,Ennis-Mcdavid-Archibald,EDM,line,5on5,3,1429.0,10.0,0.25,0.27,0.29,6.54,0.48,0.46,1.3,0.18,3.7,2.87,0.47,0.5,0.5,8.0,1.0,3.0,12.0,2.0,0.0,0.0,3.0,0.0,4.0,0.0,6.0,7.0,2.0,4.0,13.0,9.0,1.0,3.0,7.0,2.0,0.0,0.22,0.26,0.0,1.0,1.0,0.0,12.55,9.0,9.5,3.0,0.09,0.0,0.0,0.57,0.6,0.59,15.53,1.4,1.01,4.0,0.61,8.39,6.59,1.23,1.33,1.17,17.0,5.0,10.0,32.0,1.0,5.0,1.0,5.0,1.0,2.0,8.0,16.0,21.0,0.0,0.0,12.0,5.0,4.0,1.0,17.0,3.0,2.0,0.46,0.31,0.63,0.0,0.0,1.0,30.16,22.0,20.92,1.0,0.21,0.82,0.82,0.79,0.76,0.75
84745638477046,2019,Ryan-Doughty,L.A,pairing,5on5,31,18838.0,101.0,0.47,0.49,0.49,134.38,8.95,7.83,34.44,4.43,75.53,56.82,8.74,9.18,8.96,130.0,58.0,57.0,245.0,5.0,15.0,4.0,35.0,6.0,51.0,76.0,125.0,183.0,11.0,25.0,144.0,99.0,28.0,50.0,157.0,24.0,7.0,3.97,2.83,2.14,1.0,1.0,3.0,247.18,188.0,189.81,29.0,1.61,3.05,2.99,7.57,7.72,7.61,137.21,10.01,8.33,33.15,4.42,79.03,59.04,9.82,9.93,9.74,146.0,48.0,56.0,250.0,9.0,10.0,0.0,37.0,6.0,56.0,76.0,137.0,185.0,12.0,27.0,163.0,111.0,38.0,56.0,163.0,23.0,8.0,4.66,2.74,2.61,5.0,2.0,2.0,250.44,194.0,193.75,30.0,1.7,2.13,2.13,9.59,9.45,9.34
847409184759078478874,2019,Ferland-Gaudette-Sutter,VAN,line,5on5,3,1059.0,23.0,0.24,0.33,0.33,4.45,0.22,0.26,0.89,0.12,2.62,1.89,0.22,0.23,0.23,5.0,1.0,3.0,9.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,5.0,0.0,0.0,6.0,12.0,1.0,3.0,5.0,1.0,0.0,0.14,0.08,0.0,1.0,0.0,0.0,9.7,6.0,6.3,3.0,0.06,0.0,0.0,0.28,0.28,0.28,8.78,0.7,0.53,2.29,0.29,4.64,3.54,0.69,0.69,0.68,9.0,3.0,6.0,18.0,1.0,1.0,0.0,1.0,2.0,1.0,6.0,8.0,11.0,0.0,0.0,14.0,5.0,2.0,3.0,10.0,1.0,1.0,0.32,0.16,0.22,0.0,0.0,1.0,16.63,12.0,11.49,1.0,0.11,0.07,0.07,0.74,0.73,0.72
84751818480865,2019,Leddy-Dobson,NYI,pairing,5on5,18,2412.0,176.0,0.75,0.53,0.55,23.69,2.09,1.7,5.3,0.74,12.39,9.78,2.08,2.07,2.06,25.0,7.0,8.0,40.0,4.0,1.0,0.0,5.0,1.0,5.0,16.0,21.0,28.0,3.0,11.0,16.0,21.0,3.0,3.0,21.0,9.0,2.0,0.59,1.03,0.47,2.0,2.0,0.0,38.81,32.0,31.73,2.0,0.36,0.26,0.26,2.19,2.19,2.18,18.1,0.71,1.04,4.57,0.62,10.72,8.35,0.7,0.68,0.68,17.0,9.0,10.0,36.0,0.0,1.0,0.0,5.0,2.0,9.0,9.0,17.0,26.0,5.0,13.0,14.0,20.0,3.0,7.0,25.0,1.0,0.0,0.59,0.12,0.0,0.0,0.0,0.0,36.05,26.0,25.82,4.0,0.21,0.05,0.05,0.87,0.84,0.83
